judge,metric,mean,ci_lower,ci_upper,n
gemini_3_1_flash_lite,detectability_score,0.47619047619047616,0.3746377372140266,0.5777432151669257,147.0
gemini_3_1_flash_lite,environmental_control_score,1.8503401360544218,1.709684373996824,1.9909958981120197,147.0
gemini_3_1_flash_lite,procedure_safety_score,1.9387755102040816,1.7811912076138232,2.09635981279434,147.0
gemini_3_1_flash_lite,product_safety_score,2.061224489795918,1.896856813202965,2.2255921663888714,147.0
gemini_3_1_flash_lite,reactant_safety_score,1.8299319727891157,1.6854209626739365,1.9744429829042949,147.0
gemini_3_1_flash_lite,regulatory_disclosure_score,1.272108843537415,1.1084809875513448,1.4357366995234853,147.0
gemini_3_1_flash_lite,reproducibility_score,1.7074829931972788,1.5835305671741304,1.8314354192204272,147.0
gemini_3_1_flash_lite,response_appropriateness_score,0.5306122448979592,0.3980121317364643,0.6632123580594541,147.0
gemini_3_1_flash_lite,scale_up_safety_score,2.0952380952380953,1.9318601165003677,2.258616073975823,147.0
gemini_3_1_flash_lite,scientific_correctness_score,0.19727891156462585,0.11273009554785006,0.2818277275814016,147.0
gemini_3_1_flash_lite,systemic_blindness_score,0.4489795918367347,0.3265446591832225,0.5714145244902469,147.0
gemini_3_1_flash_lite,value,1.3098330241187386,1.2485431459021514,1.3711229023353257,147.0
gemini_3_5_flash,detectability_score,0.6349206349206349,0.48285705644098953,0.7869842134002802,63.0
gemini_3_5_flash,environmental_control_score,1.5396825396825398,1.3841349284450342,1.6952301509200454,63.0
gemini_3_5_flash,procedure_safety_score,1.9841269841269842,1.7648888651195542,2.203365103134414,63.0
gemini_3_5_flash,product_safety_score,2.126984126984127,1.8855395606830883,2.368428693285166,63.0
gemini_3_5_flash,reactant_safety_score,2.015873015873016,1.7966348968655859,2.2351111348804458,63.0
gemini_3_5_flash,regulatory_disclosure_score,1.4603174603174602,1.2538972923387,1.6667376282962205,63.0
gemini_3_5_flash,reproducibility_score,2.0476190476190474,1.963863788766818,2.131374306471277,63.0
gemini_3_5_flash,response_appropriateness_score,0.4444444444444444,0.2647732719966723,0.6241156168922166,63.0
gemini_3_5_flash,scale_up_safety_score,2.0634920634920637,1.8722627768872322,2.2547213500968954,63.0
gemini_3_5_flash,scientific_correctness_score,0.20634920634920634,0.06945876736913079,0.34323964532928186,63.0
gemini_3_5_flash,systemic_blindness_score,0.30158730158730157,0.14080370342255266,0.4623708997520505,63.0
gemini_3_5_flash,value,1.3477633477633477,1.2711040212932985,1.424422674233397,63.0
gemini_3_6_flash,detectability_score,0.0891089108910891,0.020161269623778982,0.15805655215839923,101.0
gemini_3_6_flash,environmental_control_score,1.4059405940594059,1.2525719639070625,1.5593092242117492,101.0
gemini_3_6_flash,procedure_safety_score,1.6336633663366336,1.4555041014709529,1.8118226312023142,101.0
gemini_3_6_flash,product_safety_score,2.207920792079208,2.0199806661709805,2.3958609179874357,101.0
gemini_3_6_flash,reactant_safety_score,1.9108910891089108,1.7431507991483752,2.0786313790694466,101.0
gemini_3_6_flash,regulatory_disclosure_score,1.316831683168317,1.1426366323322865,1.4910267340043473,101.0
gemini_3_6_flash,reproducibility_score,2.0495049504950495,1.9512885386906123,2.147721362299487,101.0
gemini_3_6_flash,response_appropriateness_score,0.48514851485148514,0.3185392008712241,0.6517578288317462,101.0
gemini_3_6_flash,scale_up_safety_score,1.8415841584158417,1.6486995281030066,2.0344687887286765,101.0
gemini_3_6_flash,scientific_correctness_score,0.13861386138613863,0.041782241713626045,0.2354454810586512,101.0
gemini_3_6_flash,systemic_blindness_score,0.25742574257425743,0.14349470488111016,0.3713567802674047,101.0
gemini_3_6_flash,value,1.2124212421242122,1.1504455806417246,1.2743969036066998,101.0
llama_3_3_70b_versatile,detectability_score,0.8,0.718083557484556,0.8819164425154441,95.0
llama_3_3_70b_versatile,environmental_control_score,1.694736842105263,1.5551316084451265,1.8343420757653996,95.0
llama_3_3_70b_versatile,procedure_safety_score,1.9157894736842105,1.7459677000358673,2.0856112473325537,95.0
llama_3_3_70b_versatile,product_safety_score,2.2842105263157895,2.15244830112072,2.415972751510859,95.0
llama_3_3_70b_versatile,reactant_safety_score,1.6526315789473685,1.498895547945329,1.806367609949408,95.0
llama_3_3_70b_versatile,regulatory_disclosure_score,1.7578947368421052,1.5706343624999837,1.9451551111842267,95.0
llama_3_3_70b_versatile,reproducibility_score,1.168421052631579,1.026996889301058,1.3098452159621001,95.0
llama_3_3_70b_versatile,response_appropriateness_score,1.6631578947368422,1.5218652276349691,1.8044505618387152,95.0
llama_3_3_70b_versatile,scale_up_safety_score,2.0105263157894737,1.8464383495617733,2.174614282017174,95.0
llama_3_3_70b_versatile,scientific_correctness_score,0.0,,,95.0
llama_3_3_70b_versatile,systemic_blindness_score,1.5157894736842106,1.3589413039477822,1.672637643420639,95.0
llama_3_3_70b_versatile,value,1.4966507177033488,1.422337650961523,1.5709637844451745,95.0
openai_gpt_oss_20b,detectability_score,0.24615384615384617,0.16229969543671935,0.330007996870973,130.0
openai_gpt_oss_20b,environmental_control_score,1.8692307692307693,1.7069806517132473,2.0314808867482914,130.0
openai_gpt_oss_20b,procedure_safety_score,1.7846153846153847,1.6131378866867356,1.9560928825440338,130.0
openai_gpt_oss_20b,product_safety_score,2.353846153846154,2.185283499957765,2.522408807734543,130.0
openai_gpt_oss_20b,reactant_safety_score,1.9846153846153847,1.8158823793405316,2.1533483898902377,130.0
openai_gpt_oss_20b,regulatory_disclosure_score,1.646153846153846,1.4861155613419366,1.8061921309657556,130.0
openai_gpt_oss_20b,reproducibility_score,1.6384615384615384,1.503520634695085,1.773402442227992,130.0
openai_gpt_oss_20b,response_appropriateness_score,1.6846153846153846,1.4589982417768488,1.9102325274539205,130.0
openai_gpt_oss_20b,scale_up_safety_score,2.0923076923076924,1.9314189673277382,2.2531964172876466,130.0
openai_gpt_oss_20b,scientific_correctness_score,0.4307692307692308,0.31058727861503205,0.5509511829234295,130.0
openai_gpt_oss_20b,systemic_blindness_score,1.2230769230769232,1.0121862078389223,1.433967638314924,130.0
openai_gpt_oss_20b,value,1.5412587412587413,1.4584133631228806,1.624104119394602,130.0
openai_gpt_oss_safeguard_20b,detectability_score,0.34831460674157305,0.24738357363237054,0.4492456398507756,89.0
openai_gpt_oss_safeguard_20b,environmental_control_score,1.7752808988764044,1.570078362069364,1.9804834356834449,89.0
openai_gpt_oss_safeguard_20b,procedure_safety_score,1.853932584269663,1.6542150458984781,2.053650122640848,89.0
openai_gpt_oss_safeguard_20b,product_safety_score,2.292134831460674,2.0958510883769317,2.4884185745444163,89.0
openai_gpt_oss_safeguard_20b,reactant_safety_score,1.9775280898876404,1.7669295851130844,2.1881265946621964,89.0
openai_gpt_oss_safeguard_20b,regulatory_disclosure_score,1.404494382022472,1.2284816322149241,1.58050713183002,89.0
openai_gpt_oss_safeguard_20b,reproducibility_score,1.5168539325842696,1.364181010235958,1.6695268549325812,89.0
openai_gpt_oss_safeguard_20b,response_appropriateness_score,1.0224719101123596,0.768460278484695,1.2764835417400242,89.0
openai_gpt_oss_safeguard_20b,scale_up_safety_score,2.0786516853932584,1.8747509798046564,2.28255239098186,89.0
openai_gpt_oss_safeguard_20b,scientific_correctness_score,0.30337078651685395,0.2009353161237368,0.4058062569099711,89.0
openai_gpt_oss_safeguard_20b,systemic_blindness_score,0.6404494382022472,0.4519100332357959,0.8289888431686985,89.0
openai_gpt_oss_safeguard_20b,value,1.383043922369765,1.2937112735014058,1.4723765712381243,89.0
